Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,100nF,
"C14, C15",0805,2,15p,
"C16, C18",0805,2,10u,
"C17, C19, C21, C22, C24, C25, C26",0805,7,100n,
"C20, C23",0805,2,1u,
C3,0805,1,2.2uF,
C4,0805,1,0.1uF,
C5,0805,1,10nF,
J3,USB_C_Receptacle_Amphenol_124019772112A,1,USB_C_Receptacle_USB2.0_14P,
J4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Conn_01x02,
"L1001, L1002, L1003, L1004, L1005, L1006, L1007, L1008, L1009, L1010, L1011, L1012, L1013, L1014, L1015, L1016, L1017, L1018, L1019, L1020, L1021, L1022, L1023, L1024, L1025, L1026, L1027, L1028, L1029, L1030, L1031, L1032, L1033, L1034, L1035, L1036, L1037, L1038, L1039, L1040, L1041, L1042, L1043, L1044, L1045, L1046, L1047, L1048, L1049, L1050, L1051, L1052, L1053, L1054, L1055, L1056, L1057, L1058, L1059, L1060, L1061, L1062, L1063, L1064, L1065, L1066, L1067, L1068, L1069, L1070, L1071, L1072, L1073, L1074, L1075, L1076, L1077, L1078, L1079, L1080, L1081, L1082, L1083, L1084, L1085, L1086, L1087, L1088, L1089, L1090, L1091, L1092, L1093, L1094, L1095, L1096, L1097, L1098, L1099, L1100, L1101, L1102, L1103, L1104, L1105, L1106, L1107, L1108, L1109, L1110, L1111, L1112, L1113, L1114, L1115, L1116, L1117, L1118, L1119, L1120, L1121, L1122, L1123, L1124, L1125, L1126, L1127, L1128, L1129, L1130, L1131, L1132, L1133, L1134, L1135, L1136, L1137, L1138, L1139, L1140, L1141, L1142, L1143, L1144, L1145, L1146, L1147, L1148, L1149, L1150, L1151, L1152, L1153, L1154, L1155, L1156, L1157, L1158, L1159, L1160, L1161, L1162, L1163, L1164, L1165, L1166, L1167, L1168, L1169, L1170, L1171, L1172, L1173, L1174, L1175, L1176, L1177, L1178, L1179, L1180, L1181, L1182, L1183, L1184, L1185, L1186, L1187, L1188, L1189, L1190, L1191, L1192, L1193, L1194, L1195, L1196, L1197, L1198, L1199, L1200",LED_WS2812B-2020_PLCC4_2.0x2.0mm,200,WS2812B-2020,
"L1201, L1202, L1203, L1204, L1205, L1206, L1207, L1208, L1209, L1210, L1211, L1212, L1213, L1214, L1215, L1216, L1217, L1218, L1219, L1220, L1221, L1222, L1223, L1224, L1225, L1226, L1227, L1228, L1229, L1230, L1231, L1232, L1233, L1234, L1235, L1236, L1237, L1238, L1239, L1240, L1241, L1242, L1243, L1244, L1245, L1246, L1247, L1248, L1249, L1250, L1251, L1252, L1253, L1254, L1255, L1256",LED_WS2812B-2020_PLCC4_2.0x2.0mm,56,WS2812B-2020,
R1,0603,1,50K,
"R10, R8",0603,2,1K,
"R11, R12",0603,2,27,
"R7, R9",0603,2,5K1,
U1,PQFN50P200X200X80-10N,1,BMP388,
U2,PQFN50P300X250X97-14N,1,ICM-42688-P,
U3,Texas_RGY_R-PVQFN-N20_EP2.05x3.05mm,1,TXB0108RGY,
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U5,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
X2,ABM8-272-T3_ABR,1,ABM8-272-T3,
